well_name,api,longitude,latitude,filename,block_stats,well_status,well_type,closest_city
Ash Federal 5300 11-18T,33-053-04211,103° 36' 9.720 W,48° 4' 47.250 N,ocr_W23230,"[{'number': '218', 'content': 'Barrels of Oil Produced in Oct 2024'}, {'number': '181', 'content': 'MCF of Gas Produced in Oct 2024'}]",Active,Oil & Gas,Williston
Chalmers 5300,33-053-06022,103° 36' 10.110 W,48° 3' 40.320 N,ocr_W28637,"[{'number': '351', 'content': 'Barrels of Oil Produced in Oct 2024'}, {'number': '2.9 k', 'content': 'MCF of Gas Produced in Oct 2024'}]",Active,Oil & Gas,Williston
lnnoko 5301,33-053-03937,103° 36' 49.480 W,48° 4' 58.040 N,ocr_W22221,[],,,
Gramma Federal 5300,33-053-06232,103° 36' 10.350 W,48° 1' 34.220 N,ocr_W29317,"[{'number': '48', 'content': 'Barrels of Oil Produced in Oct 2024'}, {'number': '268', 'content': 'MCF of Gas Produced in Oct 2024'}]",Active,Oil & Gas,Williston
Wade Federal 5300,33-053-05995,103° 33' 43.230 W,"03° 36' 11.41000""
N",ocr_W28554,"[{'number': '557', 'content': 'Barrels of Oil Produced in Oct 2024'}, {'number': '4.5 k', 'content': 'MCF of Gas Produced in Oct 2024'}]",Active,Oil & Gas,Williston
Kline Federal 5300 31-18 6B,33-053-06057,103° 36' 11.380 W,48° 4' 28.160 N,ocr_W28756,[],,,
Corps of Engineers,33-053-02148,,,ocr_W11920,"[{'number': '761', 'content': 'Barrels of Oil Produced in Oct 2024'}, {'number': '761', 'content': 'MCF of Gas Produced in Oct 2024'}]",Active,Oil & Gas,Williston
Not Found,33-105-02732,103° 43' 54.570 W,48° 6' 35.990 N,extracted_data,[],,,
Kline Federal 5300 41-18 12TX,33-053-06030,,48° 4' 45.380 N,ocr_W28658,"[{'number': '421', 'content': 'Barrels of Oil Produced in Oct 2024'}, {'number': '1.9 k', 'content': 'MCF of Gas Produced in Oct 2024'}]",Active,Oil & Gas,Williston
Chalmers 5300,33-053-06024,103° 36' 10.110 W,48° 3' 40.320 N,ocr_W28649,"[{'number': '311', 'content': 'Barrels of Oil Produced in Oct 2024'}, {'number': '3.5 k', 'content': 'MCF of Gas Produced in Oct 2024'}]",Active,Oil & Gas,Williston
Columbus Federal 2-16H,33-053-04855,103°40'11.343W,48°04'31.258N,ocr_W25159,"[{'number': '675', 'content': 'Barrels of Oil Produced in Oct 2024'}, {'number': '1.5 k', 'content': 'MCF of Gas Produced in Oct 2024'}]",Active,Oil & Gas,Williston
Kline Federal 5300 31-18,33-053-06056,103° 36' 11.380 W,48° 4' 28.160 N,ocr_W28755,"[{'number': '522', 'content': 'Barrels of Oil Produced in Oct 2024'}, {'number': '3.2 k', 'content': 'MCF of Gas Produced in Oct 2024'}]",Active,Oil & Gas,Williston
Atlanta 14-6H,33-105-02719,"103°43'39.058""W","48°06'33.379""N",ocr_W23359,"[{'number': '789', 'content': 'Barrels of Oil Produced in Oct 2024'}, {'number': '1.3 k', 'content': 'MCF of Gas Produced in Oct 2024'}]",Active,Oil & Gas,Williston
Wade Federal 5300 21-30,33-053-06131,103° 36' 11.410 W,48° 2' 32.580 N,ocr_W28978,"[{'number': '644', 'content': 'Barrels of Oil Produced in Oct 2024'}, {'number': '1.9 k', 'content': 'MCF of Gas Produced in Oct 2024'}]",Active,Oil & Gas,Williston
Wade Federal 5300,33-053-05998,103°36'11.410W,48° 2' 32.580 N,ocr_W28557,"[{'number': '287', 'content': 'Barrels of Oil Produced in Oct 2024'}, {'number': '1.7 k', 'content': 'MCF of Gas Produced in Oct 2024'}]",Active,Oil & Gas,Williston
Kline Federal 5300,33-053-06055,103° 36' 11.380 W,48° 4' 28.160 N,ocr_W28754,"[{'number': '153', 'content': 'Barrels of Oil Produced in Oct 2024'}, {'number': '1.6 k', 'content': 'MCF of Gas Produced in Oct 2024'}]",Active,Oil & Gas,Williston
Carson SWD 5301,33-053-90329,"103°36'56.03""W","48°03'38.15""N",ocr_W90329,[],,,
LEWIS,33-053-02556,,,ocr_W15358,"[{'number': '604', 'content': 'Barrels of Oil Produced in Oct 2024'}, {'number': '604', 'content': 'MCF of Gas Produced in Oct 2024'}]",Active,Oil & Gas,Williston
Chalmers 5301 44-24 3BR,33-053-06010,,,ocr_W28599,"[{'number': '657', 'content': 'Barrels of Oil Produced in Oct 2024'}, {'number': '6.1 k', 'content': 'MCF of Gas Produced in Oct 2024'}]",Active,Oil & Gas,Williston
Atlanta 11-6H,33-105-02722,"103°43'41.047""W","48°06'33.650""N",ocr_W23362,"[{'number': '389', 'content': 'Barrels of Oil Produced in Oct 2024'}, {'number': '763', 'content': 'MCF of Gas Produced in Oct 2024'}]",Active,Oil & Gas,Williston
